,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
776,goldsmith/Wikipedia,87880,Pypi,wikipedia,3,goldsmith,Wikipedia,5104078,0,1877,1044,8,151,45,0,0,2,0,0,0,1
777,GrahamDumpleton/wrapt,88197,Pypi,wrapt,4,GrahamDumpleton,wrapt,4953092,2,1960,897,5,400,55,0,0,0,0,20,6,1
778,carlsverre/wraptor,88199,Pypi,Wraptor,1,carlsverre,wraptor,4067546,0,1957,8,1,34,2,0,0,1798,84,1,6,2
781,jmcnamara/XlsxWriter,88623,Pypi,XlsxWriter,4,jmcnamara,XlsxWriter,2297387,1,2105,1505,9,790,432,0,544,0,0,0,0,3
782,martinblech/xmltodict,88701,Pypi,xmltodict,16,martinblech,xmltodict,41119,1,2367,2007,7,164,111,0,0,0,0,0,1,2
783,pydata/xarray,88766,Pypi,xray,1,pydata,xarray,30489744,0,1836,623,98,1184,630,0,18,2,3,2,0,5
786,yhat/yhat-client,89201,Pypi,yhat,1,yhat,yhat-client,2297658,0,2150,30,16,529,10,12,7,141,105,2,0,2
789,Kami/python-yubico-client,89321,Pypi,yubico,1,Kami,python-yubico-client,385611,0,3081,52,2,199,5,0,0,988,0,0,41,2
790,yahoo/Zake,89367,Pypi,zake,1,yahoo,Zake,7028796,0,1756,16,2,182,6,4,0,324,0,0,0,1
791,jstasiak/python-zeroconf,89484,Pypi,zeroconf,2,jstasiak,python-zeroconf,10659124,1,1557,196,16,194,47,0,24,0,0,42,11,2
792,0rpc/zerorpc-python,89496,Pypi,zerorpc,1,0rpc,zerorpc-python,20191692,0,2420,922,4,77,64,0,0,95,0,4,140,4
793,yograterol/zoort,89705,Pypi,zoort,1,yograterol,zoort,8009555,0,1699,0,2,69,4,12,3,68,6,0,2,4
408,disqus/nexus,61113,Pypi,nexus,1,disqus,nexus,39884,0,2784,153,14,44,1,0,0,0,0,1,0,2
1377,YPlan/nexus,1115191,Pypi,nexus-yplan,1,YPlan,nexus,8864009,0,1658,53,5,218,17,0,188,0,17,0,0,2
